Country Name,Country Code,Time,Time Code,"GDP, PPP (current international $) [NY.GDP.MKTP.PP.CD]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]",CO2 emissions (kt) [EN.ATM.CO2E.KT],GDP per unit of energy use (PPP $ per kg of oil equivalent) [EG.GDP.PUSE.KO.PP],"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP) [EG.USE.COMM.GD.PP.KD]",Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS],Energy intensity level of primary energy (MJ/$2011 PPP GDP) [EG.EGY.PRIM.PP.KD],Gross fixed capital formation (current US$) [NE.GDI.FTOT.CD]
Argentina,ARG,1990,YR1990,234713747908.285,7.05999994277954,112147.861,5.09544981075723,99.8367750035131,8.92290746696394,5.4390966150615,19785065005.7631
Argentina,ARG,1991,YR1991,264812795177.095,5.44000005722046,117098.311,5.57683811752089,94.303744397393,8.7481843073882,4.97639131756251,27769271211.3267
Argentina,ARG,1992,YR1992,292345602710.861,6.3600001335144,121352.031,5.85430944254263,91.8813536893862,9.47164961562942,4.67515678215628,38213203210.1757
Argentina,ARG,1993,YR1993,323833287156.027,10.1000003814697,117927.053,6.46601531066174,85.1600642895789,10.1283424369342,4.42726697484486,45114528828.8288
Argentina,ARG,1994,YR1994,350051492106.655,11.7600002288818,122408.127,6.57043284612022,85.5962881461618,10.7349093475441,4.44994520448956,51330897900
Argentina,ARG,1995,YR1995,347222944474.802,18.7999992370605,127963.632,6.42476682523682,89.3724792804031,11.2051846343744,4.64626030192915,46285080200
Argentina,ARG,1996,YR1996,373122012482.585,17.1100006103516,135000.605,6.65827604120273,87.8171867276718,10.1938555855904,4.56540438200189,49210611100
Argentina,ARG,1997,YR1997,410342067531.587,14.8199996948242,138003.878,7.09527769288176,83.829527413113,10.9990733955932,4.35809556241409,56727150100
Argentina,ARG,1998,YR1998,430937274734.589,12.6499996185303,139815.376,7.20497385316592,83.482371150138,11.343009140403,4.34004774245514,59595219100
Argentina,ARG,1999,YR1999,422359326216.666,14.0500001907349,146984.361,6.94264233773694,87.8876629836758,10.3061733856805,4.56906827299307,51073902400
Argentina,ARG,2000,YR2000,428394155079.758,15,142136.587,6.9593350963092,89.6368480480371,11.0779551321774,4.66000419810886,46020116800
Argentina,ARG,2001,YR2001,418489172650.759,17.3199996948242,133720.822,7.14679330800267,89.2002475073373,13.0403729383893,4.63730638645308,38098830100
Argentina,ARG,2002,YR2002,378795278972.859,19.5900001525879,124714.67,6.65589537330716,97.2941080499968,13.2879781249634,5.05808673345645,11688424248.1085
Argentina,ARG,2003,YR2003,419925810757.108,15.3599996566772,135062.944,6.89595799614871,95.6510422519721,12.5181285653079,4.97266769429361,19313487764.3146
Argentina,ARG,2004,YR2004,470169433010.404,13.5221004486084,157589.325,7.06784001155707,95.8374198722167,8.34804553441832,4.98235701768587,26170381202.9054
Argentina,ARG,2005,YR2005,527729109471.343,11.5059003829956,162110.736,7.88572909505489,88.5730445993095,8.95760175539457,4.6031075504488,34483165290.6659
Argentina,ARG,2006,YR2006,587451576478.711,10.0775003433228,175436.614,8.06874905275326,89.1835835984645,10.1878410784258,4.63074898615192,42630505717.2557
Argentina,ARG,2007,YR2007,657569211301.791,8.47000026702881,175176.257,8.91631540829736,82.8739656847967,8.88764897855596,4.30281027914211,56114681625.8495
Argentina,ARG,2008,YR2008,697557858464.464,7.83739995956421,189107.19,8.98208931260543,83.8673009256967,7.60968712045958,4.35285195831845,68732764883.4796
Argentina,ARG,2009,YR2009,661275816698.303,8.64529991149902,179961.692,8.75699012868907,86.6789143264829,8.57406117511144,4.5033185148229,51883572175.6764
Argentina,ARG,2010,YR2010,736718360694.809,7.71390008926392,187904.414,9.36505446271807,81.9953789335332,8.96144595214523,4.2511819557134,70497814077.3976
Argentina,ARG,2011,YR2011,797263881242.037,7.17950010299683,191622.752,9.89842304312809,79.1976352237552,10.1168467244514,4.10057606014049,91444072188.0246
Argentina,ARG,2012,YR2012,819697901873.041,7.21659994125366,193027.213,10.141117805846,80.3017211122874,9.86670170197468,4.15885335147252,86579294008.072
Argentina,ARG,2013,YR2013,849616000404.317,7.09959983825684,193701.941,10.234600185023,80.5352709243013,10.2103228997482,4.17514182389459,89922196966.4496
Argentina,ARG,2014,YR2014,839896688260.086,7.26760005950928,195777.463,9.69680780913584,86.1951806456787,10.9019579336328,4.34415636771924,84105642157.6515
Argentina,ARG,2015,YR2015,867176759338.262,..,201167.953,..,..,10.040077613914,4.34010162122093,92571210122.056
Australia,AUS,1990,YR1990,295778010676.733,6.92600011825562,263704.971,3.4243415788617,161.661450450068,8.0095771593438,7.4168653134115,86142362447.095
Australia,AUS,1991,YR1991,307384820984.262,9.57919979095459,261471.768,3.60899856514984,160.044946471059,8.24547226023123,7.34142304219967,80087120320.226
Australia,AUS,1992,YR1992,318004709396.511,10.7287998199463,267984.36,3.66527593092752,162.36231238634,7.51647097195474,7.44872603734749,74345151118.9725
Australia,AUS,1993,YR1993,337773085109.463,10.87380027771,277397.549,3.71417860585216,163.592910098146,8.61699388238724,7.50296632351505,73306632939.8539
Australia,AUS,1994,YR1994,358017393657.172,9.71870040893555,278119.948,3.93953076280919,157.217462247941,8.25994677877061,7.20673577138333,77360083016.2573
Australia,AUS,1995,YR1995,377319206951.193,8.46930027008057,281860.288,4.07053092050261,154.436805293112,8.21780571247124,7.07634330757528,92392337392.3374
Australia,AUS,1996,YR1996,402061981370.686,8.50619983673096,302164.467,4.07102500627076,158.40031017452,8.86597056035989,7.25302834023005,96918816388.4674
Australia,AUS,1997,YR1997,424500651324.36,8.3621997833252,305794.797,4.19133301517784,156.242641239316,9.08024283629251,7.15554868158647,104721396149.632
Australia,AUS,1998,YR1998,452294979969.252,7.67560005187988,316883.805,4.35257227529129,153.290149621791,8.59507269440585,7.02963807255926,100553483008.886
Australia,AUS,1999,YR1999,478153359805.698,6.87230014801025,325343.574,4.50317505567358,149.07104726114,8.50727378721517,6.84048542040689,98873919037.4734
Australia,AUS,2000,YR2000,504076625618.318,6.28259992599487,329443.28,4.66302504265388,146.022528244729,8.42334065854783,6.70475375527491,107945738868.304
Australia,AUS,2001,YR2001,531072356919.526,6.74230003356934,324844.862,5.022336440458,140.130658128958,8.37028137206551,6.43431773695436,88084683911.1302
Australia,AUS,2002,YR2002,564353642750.787,6.36759996414185,341353.696,5.1562104484349,139.465528212062,8.73872071261756,6.41269882766437,96159480954.3742
Australia,AUS,2003,YR2003,591532611248.396,5.92869997024536,336271.234,5.33908863404358,137.081800565651,7.15106567010273,6.29790442843978,121847408270.239
